Unnamed: 0,title,allsides_summary_text,external_link,bias
15,'Sometimes you have to take medicine': Trump defends sweeping tariffs,"US President Donald Trump has defended sweeping tariffs on imports that sent shockwaves through global stock markets, saying ""sometimes you have to take medicine to fix something"".
Speaking to reporters aboard Air Force One late on Sunday, he said jobs and investment would return to the US to make it ""wealthy like never before"".
Trump's top officials stressed that the tariffs - announced last week - would be implemented as planned, playing down recession fears.
Just hours after Trump's comments, stock markets plunged in Asia early on Monday, with Japan's...",https://www.bbc.com/news/articles/c2093qgx14po,Center
16,Inflation could hit different this time,"When sky-high inflation pummeled Americans in 2022, the labor market was booming and wages were rising, softening the blow.
Now we're in a more vulnerable place.
Why it matters: With economists expecting tariffs to drive inflation, at least in the short-term, the concern is wages won't keep up, leading to lower incomes and real pain for many.
What they're saying: ""The pinch from higher prices that we expect in coming months may hit harder than in the post-pandemic inflation spike,"" wrote J.P. Morgan chief economist Michael Feroli in a note Friday.
ING chief international...",https://www.axios.com/2025/04/07/inflation-trump-tariffs,Lean Left
17,The First Victim of Trump’s Trade War: Michigan’s Economy,"If President Trump’s trade war has a physical battleground, it is Michigan, where companies and workers are already feeling the beginning of an onslaught that could blow a hole in the state’s economy.
Nearly 20% of the economy is tied to the auto industry, which has become increasingly dependent on parts and vehicles from Canada, Mexico and China—imports Trump hit with steep tariffs in recent weeks. This trade has grown so large that Michigan ranks fifth in the nation by the size of its imports and exports, even though its total economy ranks 14th.",https://www.wsj.com/economy/the-first-victim-of-trumps-trade-war-michigans-economy-ea6ff8b2?mod=hp_lead_pos7,Center
18,Kennedy’s Plan to Send Health Officials to ‘Indian Country’ Angers Native Leaders,"Health Secretary Robert F. Kennedy Jr. made a show on Facebook of his meeting with American Indian and Alaska Native leaders last month, declaring himself “very inspired” and committed to improving the Indian Health Service, which he says has “always been treated as the redheaded stepchild” by his agency.
Now Native leaders have some questions for him.",https://www.nytimes.com/2025/04/07/us/politics/rfk-indian-health-service.html,Lean Left
19,"Under the Trump Team’s Formula, Russia Should Have 77 Percent Tariffs, But Instead It’s Only 35 Percent","Let’s be exceptionally clear. While the amount of trade between the U.S. and Russia is significantly lower than it was before the war, it is not nonexistent. In 2024, the U.S. sent $526.1 million to Russia, and the U.S. imported $3 billion in goods from Russia.
That’s according to the Office of the U.S. Trade Representative, and that’s with an existing 35 percent tariff on Russia.",https://www.nationalreview.com/corner/under-the-trump-teams-formula-russia-should-have-77-percent-tariffs-but-instead-its-only-35-percent/?utm_source=recirc-desktop&utm_medium=homepage&utm_campaign=right-rail&utm_content=corner&utm_term=first,Lean Right
20,How Obama and Biden Paved the Way for Trump's Attacks on Universities,"President Donald Trump has been laying siege to Columbia University, canceling $400 million in federal grants to the elite school. In exchange for having funds restored, Columbia's administration has agreed to capitulate to a list of demands relating to campus anti-Israel demonstrations: The university will ban protesters from concealing their identities with face masks, create new disciplinary bureaucracies to punish purportedly disruptive students, and even police the Middle Eastern studies department for alleged antisemitism.
It's not inherently wrong for the federal government to refrain from funding an extremely wealthy private institution of...",https://reason.com/2025/04/07/trump-columbia-free-speech-obama-biden-title-ix/,Center
21,Texas county that swung to Trump grapples with immigration crackdown after bakery is targeted,"Leonardo Baez and Nora Avila-Guel’s bakery in the Texas community of Los Fresnos is a daily stop for many residents to share gossip over coffee and pick up cakes and pastries for birthdays, office parties or themselves.
When Homeland Security Investigations agents showed up at Abby’s Bakery in February and arrested the owners and eight employees, residents of Los Fresnos were shocked.",https://apnews.com/article/immigration-enforcement-texas-bakery-border-homan-trump-335468ef4f0e577fa03ec03463e20854,Left
22,‘Should Have Recused Himself’: Legal Experts Sound Alarm On Obama-Appointed Judge Blocking Trump’s Deportations,"As U.S. District Court Judge James Boasberg continues to be a thorn in the side of the Trump administration’s effort to deport gangbangers, legal experts have begun to raise questions about his handling of the case.
The Obama-appointed judge in March blocked President Donald Trump from using wartime authorities to send suspected Tren de Aragua gangbangers to a mega-prison in El Salvador, prompting incredible pushback from the president himself. As the challenge to the deportations play out in court, some legal experts have argued Boasberg should recuse himself from the case entirely, while...",https://dailycaller.com/2025/04/06/legal-experts-question-boasbergs-order/,Right
23,"Batya Ungar-Sargon: ""Trump is waging class warfare on Wall Street for the sake of the American working class""","For the last decade, the media, Democrats, and Never Trump Republicans have denounced Trump as a tool of the rich and of Wall Street. Trump’s populism was fake, they said. He doesn’t really care about the working class. He just cares about himself and his Wall Street buddies.
Trump’s tariffs and Wall Street’s reaction to them prove that all of that was a lie, says Batya Ungar-Sargon, the author of two important recent books, one about the media (Bad News) and the other about the working class (Second Class).
“Liberation Day should go down in history as the day that finally put to bed the myth that Donald Trump only cares about the rich,” she said in a new podcast with me today. “It's the exact opposite. He is waging class warfare on Wall Street for the sake of the American working class. And to punish him, Wall Street is literally just shorting him. They're shorting his agenda. They are betting against America, they are betting against the president because they cannot stand the idea that there is a person with power in America was not on his knees in front of Wall Street asking them, ‘And what would you like next?’ the way both parties have been doing for 60 years.”",https://www.public.news/p/batya-ungar-sargon-trump-is-waging,Center
24,Supreme Court delays midnight deadline for Trump admin to fix mistaken deportation,"Supreme Court Chief Justice John Roberts has issued a temporary administrative stay -- putting off a midnight deadline for the government to return a mistakenly deported Maryland man to the U.S. -- giving the court more time to consider the arguments presented by both sides.
The Trump administration had asked the Supreme Court for emergency intervention in the case of Kilmar Armando Abrego Garcia, who the government -- by its own admission -- removed to El Salvador by mistake.",https://abcnews.go.com/Politics/appeals-court-affirms-judges-order-return-wrongly-deported/story?id=120562513,Lean Left
25,"Trump’s tough-love tariffs: Pain now, prosperity later","The latest economic numbers don’t look good. The inflation rate, which had inched down in the last two months, started to rise again. Moreover, stock prices continue their downward trend as the market faces ongoing uncertainty and volatility. And then there are tariffs.
The short-term impact of tariffs may be painful. If the 25% tariffs stick, your favorite European cars will be more expensive — as will all Canadian goods and possibly many Mexican goods. Nearly all American-made cars contain components manufactured elsewhere, meaning their prices will rise too.",https://www.theblaze.com/columns/opinion/trumps-tough-love-tariffs-pain-now-prosperity-later,Right
26,The end of free trade? What history has to say about Trump’s tariffs.,"With President Donald Trump’s announcement of “Liberation Day” trade tariffs Wednesday, the world appears to have crossed into a new era.
For nearly a century, the international economy has been driven by the seemingly unstoppable force of globalization, built on the premise that free trade benefits all.
Those days seem to be over.",https://www.csmonitor.com/World/2025/0404/tariffs-trump-protectionism-history?icid=cdp%3Ahp-leftrail,Center
27,Here’s one key thing you should know about Trump’s shock to the world economy: it could work,"It’s less than a week since Donald Trump’s sensational announcement that he was unilaterally ending the world’s trading system with the imposition of a 10% minimum tariff for trading with the US – and a very much higher rate for those countries unfortunate enough to have the US as a major export partner. Long-term allies such as Japan and South Korea have been hammered with tariffs of around 25%, while export-dependent poorer countries such as Vietnam, which sells about a third of its exports to the US, have been hit with tariffs in excess of...",https://www.theguardian.com/commentisfree/2025/apr/07/donald-trump-world-economy-shock-us,Left
28,Trump says US will deal 'directly' with Iran in high-level meeting on Saturday,"President Donald Trump on Monday said the U.S. will engage ""directly"" with Iran in a high-level meeting set to occur this coming Saturday. 
""We have a very big meeting on Saturday, and we're dealing with them directly,"" Trump told reporters from the Oval Office while sitting next to Israeli Prime Minister Benjamin Netanyahu. 
The announced meeting is the first known time the U.S. will directly engage with Iran since the previous Trump administration, when it withdrew from the Joint Comprehensive Plan of Action (JCPOA) in 2018. ",https://www.foxnews.com/world/trump-says-us-deal-directly-iran-high-level-meeting-saturday,Right
29,‘I didn’t start out wanting to see kids’: are porn algorithms feeding a generation of paedophiles – or creating one?,"Andy was enjoying a weekend away with his wife when it happened. “My neighbour phoned me and said, ‘The police are in your house. They’re looking for you.’” He didn’t need to wonder why. “You know. You know the reason. I was petrified when I got that call. It wasn’t just the thought of other people knowing what I had done; I also had to face myself, and that is a sick feeling – it is guilt, shame.”
Andy had been watching and sharing images of children being sexually abused...",https://www.theguardian.com/society/2025/apr/05/i-didnt-start-out-wanting-to-see-kids-are-porn-algorithms-feeding-a-generation-of-paedophiles-or-creating-one,Left
30,30 years behind bars: How Erik and Lyle Menendez have spent their lives in prison,,https://www.cnn.com/2025/04/06/us/erik-lyle-menendez-prison-life/index.html,Lean Left
31,Colossal Biosciences Resurrects Long-Extinct Dire Wolf,"Dire wolves went extinct around 12,000 years ago, at the end of the last ice age. Weighing around 150 pounds, they were about twice the size of today's gray wolves. Dire wolves roamed both North and South America, preying on ancient horses, camels, sloths, and bison.
Colossal Biosciences, the private company aiming to bring back from extinction the woolly mammoth, announced today that it had produced three dire wolf pups using genetic editing and cloning. The researchers at the company extracted and sequenced the genomes of dire wolves from a 13,000-year-old tooth from Ohio and a 72,000-year-old...",https://reason.com/2025/04/07/colossal-biosciences-resurrects-long-extinct-dire-wolf/,Center
32,RFK Jr. kicks off MAHA tour in Utah to address fluoride ban,"Health and Human Services Secretary Robert F. Kennedy Jr. kicked off his “Make America Healthy Again” tour in Utah to discuss the state’s fluoride ban.
Utah Gov. Spencer Cox signed legislation Thursday barring cities and communities from adding the mineral to their water systems. The ban goes into effect May 7.
Kennedy announced that he plans to tell the Centers for Disease Control and Prevention to stop recommending fluoridation for communities throughout the United States and that he will be assembling a task force to focus on potential health risks...",https://www.newsnationnow.com/health/rfk-jr-mmr-vaccine-measles-texas/,Center
33,Gavin Newsom’s rebrand is DOA,"Recently, Newsom has undergone cosmetic surgery for his brand. Newsom spent years presenting himself as one of the faces of the progressive movement, but President Donald Trump’s dispatching of fellow Golden State liberal Kamala Harris persuaded Newsom that to act on his well-established ambitions in 2028, he would need to ditch the unpopular agenda that doomed Harris. 
Former President Joe Biden governed to the left of where he had run in 2020, when Harris had run to his left. In 2024, the country roundly rejected the Biden-Harris legacy, and Newsom, with his finger perpetually suspended in the...",https://www.washingtonexaminer.com/premium/3367269/gavin-newsom-rebrand-failed-attempt-be-moderate/,Lean Right
34,Newsmax Stock Breaks Records in Opening Week,"Newsmax's stock broke records for initial public offerings in its first week of trading, becoming the first Regulation A+ offering to go directly to the NYSE's Big Board – while captivating the markets with a dizzying valuation.
After trading began Monday just before 11 a.m. ET, Newsmax (NMAX) soon found itself with a share price of $44.30 and a market capitalization of $4.18 billion.
The New York Times marveled that Newsmax's spectacular rise briefly put it at a richer valuation than U.S. Steel...",https://www.newsmax.com/newsfront/newsmax-nmax-stock/2025/04/07/id/1205986/,Right
35,Key safety hotlines disrupted by HHS cuts,"Teams manning government hotlines for reporting adverse events from foods, supplements and cosmetics, and call centers that provide other essential safety information were among the thousands of Health and Human Services Department employees laid off last week.
The big picture: Though the department is hurriedly calling some workers back, the episodes show how information blackouts are becoming a feature of the Trump administration's efforts to reorganize the health bureaucracy.",https://www.axios.com/2025/04/06/hhs-cuts-food-safety-services-disrupted,Lean Left
36,Exclusive: US admiral at NATO fired in expanding national security purge,"U.S. Navy Vice Admiral Shoshana Chatfield, who holds a senior position in NATO, has been fired as part of what appears to be an expanding national security purge of top officials by the Trump administration, three sources told Reuters on Monday.
The information was not immediately confirmed by the Pentagon. However, the sources told Reuters that allies had been notified that Chatfield had been removed from her job.",https://www.reuters.com/world/us/us-admiral-nato-fired-expanding-national-security-purge-2025-04-07/,Center
37,"DOGE cuts $51M from US African Development Foundation, including $229K to market shea butter","The Department of Government Efficiency (DOGE) announced $51 million in cuts from the U.S. African Development Foundation, which included hundreds of thousands of dollars for marketing shea butter and pineapple juice, as well as mango drying facilities.
DOGE made the announcement on X, highlighting several initiatives the money was put toward.
For instance, $229,296 was used to market 100% organic shea butter in Burkina Faso; $246,217 was spent on mango drying facilities in the Ivory Coast; and $239,738 was spent on marketing pineapple juice in Benin.",https://www.foxnews.com/politics/doge-cuts-51m-from-us-african-development-foundation-including-229k-market-shea-butter,Right
38,SCOTUS: Trump Was Right,"Not to say I told you so. But let’s be real — I’m fully and completely, unashamedly, absolutely saying I told you so. And the Supreme Court of the United States just backed me up. Again.
Today, in a one-two punch of constitutionally glorious vindication, the highest court in the land handed President Donald J. Trump a 2-0 win, one of which should have every America-hating, Constitution-twisting, open-borders cheerleader choking on their avocado toast. Because, yes, SCOTUS just greenlit Trump’s use of a 1798 law to deport foreign gang members....",https://townhall.com/columnists/kevinmccullough/2025/04/08/scotus-trump-was-right-n2655153,Right
39,Republicans rattled by tariff troubles begin to push back on Trump,"Cracks are growing between congressional Republicans and President Trump over his tariff policy, with some lawmakers looking to strip him of his unilateral tariff authority and others seeking briefings from the White House on the strategy amid growing economic tumult.
Seven Republican senators signed on to a bill led by Sens. Chuck Grassley (R-Iowa), the Senate’s president pro tempore, and Maria Cantwell (D-Wash.) that would require the president to give Congress 48 hours notice of new tariffs, make them subject to congressional approval after 60 days, and allow Congress to rescind tariffs.
The legislative...",https://thehill.com/homenews/senate/5237139-congressional-republicans-trump-tariffs/,Center
40,‘The opposite of what Americans voted for’: Market turmoil causes Trump backlash,"During the first two turbulent months of President Donald Trump’s term, the White House has shrugged off scrutiny of its most controversial policies with a simple assertion: The American people voted for this.
Now, Trump allies and GOP voters spooked by the tariff-induced market crash are beginning to respond en masse: No, we didn’t.
Trump won in November because many voters saw him as an antidote to their economic malaise; as a candidate, he frequently promised to lower Americans’ everyday prices. But as president, he has chosen instead to plunge the country...",https://www.politico.com/news/2025/04/07/trump-politics-tariffs-backlash-republicans-00007065,Lean Left
41,Congress Should End Trump’s Trade War,"Last Wednesday, standing at a podium in the White House Rose Garden, the president of the United States threw the world’s economy into turmoil. Having declared that America’s trade deficit represented a bona fide “emergency,” President Trump revealed a completely rewritten federal tariff regime. The result of these alterations was an increase in protectionist barriers that exceeded even the infamous Smoot-Hawley law in its scope.
For two days, the stock market responded to this move by diving sharply downward. Monday morning, after a false report that the president was planning to...",https://www.nationalreview.com/2025/04/congress-should-end-trumps-trade-war/,Right
42,Trump Misleads on Transgender Issues,"On the first day of his administration, President Donald Trump signed an executive order directing the federal government to no longer consider a person’s gender and to recognize people as either male or female, as defined by the size of their reproductive cells.
The directive served as a basis for a series of subsequent orders that called for defunding medical or educational institutions that have protections for transgender students, provide gender-affirming medical care to transgender youth or allow transgender girls or women to participate in women’s sports. Another order attempted to ban transgender people from the military. 
But some...",https://www.factcheck.org/2025/04/trump-misleads-on-transgender-issues/,Lean Left
43,China vows to ‘fight to the end’ against latest Trump tariff threat,"China’s government says it will “fight to the end” if the US continues to escalate the trade war, after Donald Trump threatened huge additional tariffs in response to China’s retaliatory measures.
On Tuesday, China’s commerce ministry accused the US of “blackmail” and said the US president’s threats of additional 50% tariffs if Beijing did not reverse its own 34% reciprocal tariff were a “mistake on top of a mistake”.
It vowed to “resolutely take countermeasures”, adding: “China will fight to the end if the US side is bent on going down the wrong path.”...",https://www.theguardian.com/world/2025/apr/08/china-vows-to-fight-to-the-end-against-latest-trump-tariff-threat,Left
44,House Republicans short on votes to adopt budget blueprint for Trump agenda,"House Republicans do not have enough votes to adopt changes the Senate made to a budget blueprint for enacting President Trump’s agenda, which the lower chamber is scheduled to vote on this week.
The House GOP cannot afford to lose more than three votes on the budget given the united Democratic opposition. More Republicans than that have already announced their opposition to the Senate changes, arguing the blueprint no longer ensures steep spending cuts.
“From budget gimmicks to a pathetic $4 [billion] in spending cuts, the Senate’s budget resolution is a non-starter,” Rep. Andrew S. Clyde, Georgia Republican, posted on social...",https://www.washingtontimes.com/news/2025/apr/7/house-republicans-short-votes-adopt-budget-blueprint-trump-agenda/,Lean Right
45,China is not backing down from Trump's tariff war. What next?,"The trade war between the world's two biggest economies shows no signs of slowing down - Beijing has vowed to ""fight to the end"" hours after US President Donald Trump threatened to nearly double the tariffs on China.
That could leave most Chinese imports facing a staggering 104% tax - a sharp escalation between the two sides.
Smartphones, computers, lithium-ion batteries, toys and video game consoles make up the bulk of Chinese exports to the US. But there are so many other things, from screws to boilers.
With a deadline looming in...",https://www.bbc.com/news/articles/ckg51yw700lo,Center
46,Can Musk Pull Trump Back From the Tariff Ledge?,"Elon Musk is known for many things. Subtlety is not one of them.
When Musk shared a grainy two-minute video at 4:59 a.m. Monday to his 218 million followers, his post contained no words, and yet the message was clear. It showed the free-market intellectual Milton Friedman, in a 1980 clip well known to economists, waxing poetic about free trade as he sketched out the international origins of the parts that form a pencil.
Musk was expressing his discomfort with President Trump’s imposition of draconian new tariffs. And yet one has to...",https://www.nytimes.com/2025/04/07/us/politics/elon-musk-tariffs-trump.html,Lean Left
0,Former US Attorney Jessica Aber found dead in Virginia at 43,"Former U.S. Attorney for the Eastern District of Virginia Jessica Aber was found dead Saturday morning, in Alexandria, Virginia, according to police.
She was 43.
Police in Alexandria, Virginia, were called to a home on Beverly Drive in the suburb of Washington, D.C., at around 9:18 a.m. Saturday for the report of an unresponsive woman, according to a police statement. They found Aber dead inside.
Former U.S. Attorney Jessica Aber held the position from October 2021 to January 2025.(Justice Department)",https://abcnews.go.com/amp/US/former-us-attorney-jessica-aber-found-dead-virginia/story?id=120064277,Lean Left
1,Istanbul mayor arrested ahead of selection to run against Erdogan,"The main rival to Turkey's President Recep Tayyip Erdogan has been formally arrested and charged with corruption.
Ekrem Imamoglu, the mayor of the Turkish city of Istanbul, is expected to be selected as the opposition Republican People's Party's (CHP) 2028 presidential candidate in a ballot on Sunday.",https://www.bbc.com/news/articles/c0egjvj8vdro,Center
2,Punk band UK Subs say they were deported over anti-Trump views,"Three members of the punk band, the UK Subs – including Iggy Pop’s bass player Alvin Gibbs – were denied entry into the US.
The musicians are the latest foreign nationals to run into trouble with immigration at US airports since Donald Trump entered office.
The UK Subs, who have toured the US previously without incident, were due to perform at a punk festival in Los Angeles and flew into LAX.",https://www.telegraph.co.uk/us/news/2025/03/21/punk-band-uk-subs-say-were-deported-anti-trump-views/,Lean Right
3,‘Renting a womb’: Behind California’s underground baby farm industry,"As the battle over President Donald Trump’s executive order ending birthright citizenship heats up, the administration is cracking down on an underground industry in California where Chinese nationals pay money to baby brokers who get pregnant Chinese women into the country so their babies are born U.S. citizens.
Officials say these couples are often housed in luxury apartments or large mansions in the suburbs of Los Angeles, which neighbors call “baby farms.” ",https://www.newsnationnow.com/us-news/immigration/behind-californias-underground-baby-farm-industry/,Center
4,Schumer says he's staying put amid growing resignation pressure,"Minority Leader Chuck Schumer (D-N.Y.) said he's ""not stepping down"" from leadership in an interview aired Sunday amid mounting pressure from within his party to abandon his post.
Why it matters: He's remaining defiant as Democratic lawmakers and outside groups pile on calls for him to step aside. But Schumer, who dealt a key blow to former President Biden's reelection bid, argued he's ""absolutely"" not making the same mistake Biden did when he hesitated to step down.",https://www.axios.com/2025/03/23/schumer-not-stepping-down-democratic-pressure,Lean Left
5,Israeli Strike in Gaza Kills Senior Hamas Leader,"An Israeli strike in southern Gaza killed senior Hamas leader Salah Bardawil, according to the Associated Press.
Bardawil was a Palestinian parliament and political bureau member and was among at least 26 people killed in the Israeli strikes between Saturday night and Sunday morning. 
Bardawil’s wife was also killed by the strike.",https://www.nationalreview.com/news/israeli-strike-in-gaza-kills-senior-hamas-leader/,Lean Right
6,Venezuela to resume accepting US deportation flights,"Venezuela will resume accepting deportation flights from the US after Venezuelan President Nicholas Maduro suspended the flights earlier this month.
Jorge Rodríguez, the president of Venezuela's Assembly and chief negotiator with the U.S. announced the change in policy on Saturday.
""We have agreed with the U.S. government to resume the repatriation of Venezuelan migrants with an initial flight tomorrow, Sunday,"" Rodriguez said.",https://www.foxnews.com/world/venezuela-resume-accepting-us-deportation-flights,Right
